X	Y	Brightness
-3,186653222	3,60746262	0,220905893
-0,473742338	-1,591137046	0,698103308
-2,008667632	-2,559712468	0,329152647
3,088352886	-1,765544191	0,4463285
-2,93054668	-2,689283042	0,158389277
-2,702392315	-4,69026976	0,117316098
3,52151165	-1,508424498	0,089261347
1,15251908	-2,568738138	0,163104577
-3,956272433	3,644031369	0,534225154
-2,289630396	3,705990627	0,507991628
-1,902361657	3,429092957	0,489320031
-1,000801278	-1,517488613	0,897891507
-4,034466971	3,195640401	0,549722107
-2,701014799	-3,4818625	0,483510455
3,164728402	-0,429509108	0,832022052
-3,319792171	3,693060741	0,007373062
3,708284954	-1,406733956	0,907555848
2,86729648	-2,15542026	0,222646322
-2,373809356	-2,305263392	0,759156965
3,552345357	-0,552948223	0,082005703
-3,538481813	3,701350883	0,162812893
-3,802565382	2,761745961	0,730088864
3,5070797	-0,108717638	0,567637604
-0,923261509	-2,123971389	0,223183067
-3,21222339	-3,391058239	0,539970977
-0,614625589	-1,813964328	0,943609452
-3,248353792	3,919491601	0,266816594
2,329532707	-2,79374925	0,514258895
-0,880355355	3,111552215	0,961154988
-1,844779351	-4,343271034	0,217354234
2,560046784	-2,31459615	0,083669625
1,508477036	-2,906691674	0,105518405
-2,799925994	-4,037384167	0,284702873
-2,150963556	-3,955143096	0,096708216
-3,633782347	3,815046916	0,415518249
-2,284683601	-4,861042701	0,197681811
-1,176412564	-1,558596337	0,994779215
1,718223087	-3,279178318	0,718724524
-3,014522068	-3,456633496	0,758143337
-2,591023712	-2,04894484	0,404440385
2,608982529	-3,224318888	0,039471166
-1,426569383	-1,939965263	0,459886823
-1,1591345	-2,058057141	0,143166303
-2,5241467	-2,569896057	0,88787153
2,049279254	-3,185739535	0,212150337
-2,161482015	-4,811834708	0,846425324
-2,771626325	-3,273319656	0,610160229
-1,673650695	3,804698989	0,744228763
-3,309989576	3,561281897	0,303235044
-2,64020238	-2,338435651	0,449057646
-2,354545666	3,628123993	0,21162115
-3,130769777	3,49826617	0,253256113
-2,19720501	-3,930343874	0,709601649
-1,860872183	4,29766814	0,364181848
3,938253194	-1,021548243	0,368941535
-1,325622676	-1,509922904	0,807782024
3,237971225	-2,263707574	0,00522089
-1,313803813	2,830360971	0,024193992
2,980652195	-0,53522101	0,427066621
-1,946884324	-4,366064639	0,345460012
2,140197927	-2,576849924	0,367595391
1,932660843	-3,213500093	0,607317756
3,324841811	-0,53246958	0,213159404
2,412153268	-3,265958218	0,345701039
-3,941243385	3,799856929	0,740024736
-1,262229183	2,828865009	0,006392918
-1,81421987	3,982663531	0,337748713
-3,265422265	4,351753655	0,128118481
3,454279721	-2,697164129	0,865504264
-1,904108134	-1,979448669	0,471943602
2,364597622	-2,834187212	0,268117242
-1,093933421	3,680121743	0,860492615
2,421277951	-2,539133306	0,053104372
-2,825473073	4,417748983	0,022898584
2,721374515	-2,169973351	0,009656392
-3,115433113	4,340915684	0,999789721
-0,748379723	2,560736736	0,032273398
-1,563613027	2,803608175	0,797921199
1,432951896	-3,09702066	0,892450241
-2,518704317	-3,649590809	0,126003027
2,919203922	-0,350619206	0,61676792
2,952937359	-0,497069678	0,478840711
-3,185719113	4,256303943	0,531361091
-2,502510316	-4,504358076	0,423188066
-1,240056069	3,68288129	0,94525538
-1,93303843	-2,347029459	0,960695552
-3,549303815	3,296919853	0,803624336
